Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
527,DNB,v Pakistan,Birmingham,04-06-2017,1,DNB,DNB,ODI # 3878,0,0,0,0,ODI
528,63,v Sri Lanka,The Oval,08-06-2017,1,5,Caught,ODI # 3882,52,7,2,121.15,ODI
529,DNB,v South Africa,The Oval,11-06-2017,2,DNB,DNB,ODI # 3886,0,0,0,0,ODI
530,DNB,v Bangladesh,Birmingham,15-06-2017,2,DNB,DNB,ODI # 3891,0,0,0,0,ODI
531,4,v Pakistan,The Oval,18-06-2017,2,5,Caught,ODI # 3894,16,0,0,25,ODI
532,9,v West Indies,Port of Spain,23-06-2017,1,5,Not Out,ODI # 3895,9,1,0,100,ODI
533,13,v West Indies,Port of Spain,25-06-2017,1,6,Not Out,ODI # 3896,13,1,0,100,ODI
534,78,v West Indies,North Sound,30-06-2017,1,5,Not Out,ODI # 3898,79,4,2,98.73,ODI
535,54,v West Indies,North Sound,02-07-2017,2,5,Caught,ODI # 3900,114,1,0,47.36,ODI
536,DNB,v West Indies,Kingston,06-07-2017,2,DNB,DNB,ODI # 3902,0,0,0,0,ODI
537,2,v West Indies,Kingston,09-07-2017,1,5,Caught,T20I # 617,3,0,0,66.66,T20
538,DNB,v Sri Lanka,Dambulla,20-08-2017,2,DNB,DNB,ODI # 3905,0,0,0,0,ODI
539,45,v Sri Lanka,Pallekele,24-08-2017,2,6,Not Out,ODI # 3906,68,1,0,66.17,ODI
540,67,v Sri Lanka,Pallekele,27-08-2017,2,6,Not Out,ODI # 3907,86,4,1,77.9,ODI
541,49,v Sri Lanka,Colombo (RPS),31-08-2017,1,7,Not Out,ODI # 3908,42,5,1,116.66,ODI
542,1,v Sri Lanka,Colombo (RPS),03-09-2017,2,6,Not Out,ODI # 3909,1,0,0,100,ODI
543,1,v Sri Lanka,Colombo (RPS),06-09-2017,2,5,Not Out,T20I # 618,1,0,0,100,T20
544,79,v Australia,Chennai,17-09-2017,1,6,Caught,ODI # 3910,88,4,2,89.77,ODI
545,5,v Australia,Eden Gardens,21-09-2017,1,6,Caught,ODI # 3912,10,1,0,50,ODI
546,3,v Australia,Indore,24-09-2017,2,7,Not Out,ODI # 3914,6,0,0,50,ODI
547,13,v Australia,Bengaluru,28-09-2017,2,7,Bowled,ODI # 3917,10,1,1,130,ODI
548,DNB,v Australia,Nagpur,01-10-2017,2,DNB,DNB,ODI # 3919,0,0,0,0,ODI
549,DNB,v Australia,Ranchi,07-10-2017,2,DNB,DNB,T20I # 623,0,0,0,0,T20
550,13,v Australia,Guwahati,10-10-2017,1,6,Stumped,T20I # 624,16,1,0,81.25,T20
551,25,v New Zealand,Wankhede,22-10-2017,1,6,Caught,ODI # 3928,42,2,0,59.52,ODI
552,18,v New Zealand,Pune,25-10-2017,2,6,Not Out,ODI # 3931,21,3,0,85.71,ODI
553,25,v New Zealand,Kanpur,29-10-2017,1,5,Caught,ODI # 3932,17,3,0,147.05,ODI
554,7,v New Zealand,Delhi,01-11-2017,1,5,Not Out,T20I # 630,2,0,1,350,T20
555,49,v New Zealand,Rajkot,04-11-2017,2,6,Caught,T20I # 631,37,2,3,132.43,T20
556,0,v New Zealand,Thiruvananthapuram,07-11-2017,1,7,Not Out,T20I # 632,0,0,0,0,T20
557,65,v Sri Lanka,Dharamsala,10-12-2017,1,6,Caught,ODI # 3939,87,10,2,74.71,ODI
558,7,v Sri Lanka,Mohali,13-12-2017,1,4,Lbw,ODI # 3941,5,0,1,140,ODI
559,DNB,v Sri Lanka,Visakhapatnam,17-12-2017,2,DNB,DNB,ODI # 3942,0,0,0,0,ODI
560,39,v Sri Lanka,Cuttack,20-12-2017,1,4,Not Out,T20I # 633,22,4,1,177.27,T20
561,28,v Sri Lanka,Indore,22-12-2017,1,3,Bowled,T20I # 634,21,2,2,133.33,T20
562,16,v Sri Lanka,Wankhede,24-12-2017,2,7,Not Out,T20I # 635,10,2,0,160,T20
563,4,v South Africa,Durban,01-02-2018,2,6,Not Out,ODI # 3969,3,1,0,133.33,ODI
564,DNB,v South Africa,Centurion,04-02-2018,2,DNB,DNB,ODI # 3970,0,0,0,0,ODI
565,10,v South Africa,Cape Town,07-02-2018,1,6,Caught,ODI # 3971,22,0,0,45.45,ODI
566,42,v South Africa,Johannesburg,10-02-2018,1,6,Not Out,ODI # 3973,43,3,1,97.67,ODI
567,13,v South Africa,Gqeberha,13-02-2018,1,7,Caught,ODI # 3976,17,1,0,76.47,ODI
568,DNB,v South Africa,Centurion,16-02-2018,2,DNB,DNB,ODI # 3978,0,0,0,0,ODI
569,16,v South Africa,Johannesburg,18-02-2018,1,6,Bowled,T20I # 652,11,2,0,145.45,T20
570,52,v South Africa,Centurion,21-02-2018,1,6,Not Out,T20I # 654,28,4,3,185.71,T20
571,12,v South Africa,Cape Town,24-02-2018,1,6,Caught,T20I # 655,11,1,0,109.09,T20
572,11,v Ireland,Dublin (Malahide),27-06-2018,1,4,Caught,T20I # 678,5,1,1,220,T20
573,DNB,v England,Manchester,03-07-2018,2,DNB,DNB,T20I # 684,0,0,0,0,T20
574,32,v England,Cardiff,06-07-2018,1,6,Not Out,T20I # 688,24,5,0,133.33,T20
575,DNB,v England,Bristol,08-07-2018,2,DNB,DNB,T20I # 690,0,0,0,0,T20
576,DNB,v England,Nottingham,12-07-2018,2,DNB,DNB,ODI # 4014,0,0,0,0,ODI
577,37,v England,Lord's,14-07-2018,2,6,Caught,ODI # 4016,59,2,0,62.71,ODI
578,42,v England,Leeds,17-07-2018,1,5,Caught,ODI # 4018,66,4,0,63.63,ODI
579,0,v Hong Kong,Dubai (DSC),18-09-2018,1,5,Caught,ODI # 4039,3,0,0,0,ODI
580,DNB,v Pakistan,Dubai (DSC),19-09-2018,2,DNB,DNB,ODI # 4040,0,0,0,0,ODI
581,33,v Bangladesh,Dubai (DSC),21-09-2018,2,4,Caught,ODI # 4042,37,3,0,89.18,ODI
582,DNB,v Pakistan,Dubai (DSC),23-09-2018,2,DNB,DNB,ODI # 4044,0,0,0,0,ODI
583,8,v Afghanistan,Dubai (DSC),25-09-2018,2,4,Lbw,ODI # 4046,17,0,0,47.05,ODI
584,36,v Bangladesh,Dubai (DSC),28-09-2018,2,5,Caught,ODI # 4048,67,3,0,53.73,ODI
585,DNB,v West Indies,Guwahati,21-10-2018,2,DNB,DNB,ODI # 4056,0,0,0,0,ODI
586,20,v West Indies,Visakhapatnam,24-10-2018,1,5,Bowled,ODI # 4059,25,0,1,80,ODI
587,7,v West Indies,Pune,27-10-2018,2,6,Caught,ODI # 4062,11,0,0,63.63,ODI
588,23,v West Indies,Brabourne,29-10-2018,1,5,Caught,ODI # 4063,15,2,0,153.33,ODI
589,DNB,v West Indies,Thiruvananthapuram,01-11-2018,2,DNB,DNB,ODI # 4064,0,0,0,0,ODI
590,51,v Australia,Sydney,12-01-2019,2,5,Lbw,ODI # 4077,96,3,1,53.12,ODI
591,55,v Australia,Adelaide,15-01-2019,2,5,Not Out,ODI # 4078,54,0,2,101.85,ODI
592,87,v Australia,Melbourne,18-01-2019,2,4,Not Out,ODI # 4079,114,6,0,76.31,ODI
593,DNB,v New Zealand,Napier,23-01-2019,2,DNB,DNB,ODI # 4082,0,0,0,0,ODI
594,48,v New Zealand,Mount Maunganui,26-01-2019,1,5,Not Out,ODI # 4085,33,5,1,145.45,ODI
595,1,v New Zealand,Wellington,03-02-2019,1,5,Bowled,ODI # 4092,6,0,0,16.66,ODI
596,39,v New Zealand,Wellington,06-02-2019,2,5,Caught,T20I # 735,31,5,1,125.8,T20
597,20,v New Zealand,Auckland,08-02-2019,2,5,Not Out,T20I # 737,17,1,0,117.64,T20
598,2,v New Zealand,Hamilton,10-02-2019,2,6,Caught,T20I # 738,4,0,0,50,T20
599,29,v Australia,Visakhapatnam,24-02-2019,1,5,Not Out,T20I # 748,37,0,1,78.37,T20
600,40,v Australia,Bengaluru,27-02-2019,1,5,Caught,T20I # 749,23,3,3,173.91,T20
601,59,v Australia,Hyderabad,02-03-2019,2,5,Not Out,ODI # 4102,72,6,1,81.94,ODI
602,0,v Australia,Nagpur,05-03-2019,1,7,Caught,ODI # 4106,1,0,0,0,ODI
603,26,v Australia,Ranchi,08-03-2019,2,5,Bowled,ODI # 4109,42,2,1,61.9,ODI
604,34,v South Africa,Southampton,05-06-2019,2,5,Caught,ODI # 4150,46,2,0,73.91,ODI
605,27,v Australia,The Oval,09-06-2019,1,5,Caught,ODI # 4155,14,3,1,192.85,ODI
606,1,v Pakistan,Manchester,16-06-2019,1,5,Caught,ODI # 4161,2,0,0,50,ODI
607,28,v Afghanistan,Southampton,22-06-2019,1,5,Stumped,ODI # 4169,52,3,0,53.84,ODI
608,56,v West Indies,Manchester,27-06-2019,1,6,Not Out,ODI # 4175,61,3,2,91.8,ODI
609,42,v England,Birmingham,30-06-2019,2,6,Not Out,ODI # 4179,31,4,1,135.48,ODI
610,35,v Bangladesh,Birmingham,02-07-2019,1,6,Caught,ODI # 4182,33,4,0,106.06,ODI
611,DNB,v Sri Lanka,Leeds,06-07-2019,2,DNB,DNB,ODI # 4187,0,0,0,0,ODI
612,50,v New Zealand,Manchester,09-07-2019,2,7,Run Out,ODI # 4190,72,1,1,69.44,ODI
