Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
173,109,v Hong Kong,Karachi,25-06-2008,1,4,Not Out,ODI # 2716,96,6,6,113.54,ODI
174,26,v Pakistan,Karachi,26-06-2008,2,5,Not Out,ODI # 2717,30,0,1,86.66,ODI
175,DNB,v Bangladesh,Karachi,28-06-2008,2,DNB,DNB,ODI # 2721,0,0,0,0,ODI
176,76,v Pakistan,Karachi,02-07-2008,1,5,Caught,ODI # 2730,96,4,0,79.16,ODI
177,67,v Sri Lanka,Karachi,03-07-2008,2,4,Bowled,ODI # 2732,62,5,1,108.06,ODI
178,49,v Sri Lanka,Karachi,06-07-2008,2,5,Caught,ODI # 2735,74,4,0,66.21,ODI
179,6,v Sri Lanka,Dambulla,18-08-2008,1,6,Caught,ODI # 2742,28,0,0,21.42,ODI
180,39,v Sri Lanka,Dambulla,20-08-2008,2,5,Bowled,ODI # 2745,54,3,0,72.22,ODI
181,76,v Sri Lanka,Colombo (RPS),24-08-2008,1,6,Caught,ODI # 2750,80,8,0,95,ODI
182,71,v Sri Lanka,Colombo (RPS),27-08-2008,1,5,Caught,ODI # 2755,80,4,0,88.75,ODI
183,1,v Sri Lanka,Colombo (RPS),29-08-2008,2,6,Bowled,ODI # 2756,7,0,0,14.28,ODI
184,9,v Australia,Bengaluru,09-10-2008,2,7,Bowled,Test # 1887,51,0,0,17.64,Test
185,DNB,v Australia,Bengaluru,09-10-2008,4,DNB,DNB,Test # 1887,0,0,0,0,Test
186,92,v Australia,Mohali,17-10-2008,1,8,Lbw,Test # 1889,124,8,4,74.19,Test
187,68,v Australia,Mohali,17-10-2008,3,3,Not Out,Test # 1889,84,3,1,80.95,Test
188,DNB,v Australia,Delhi,29-10-2008,3,DNB,DNB,Test # 1891,0,0,0,0,Test
189,27,v Australia,Delhi,29-10-2008,1,7,Caught,Test # 1891,29,4,1,93.1,Test
190,55,v Australia,Nagpur,06-11-2008,3,7,Caught,Test # 1892,81,4,0,67.9,Test
191,56,v Australia,Nagpur,06-11-2008,1,7,Bowled,Test # 1892,97,4,0,57.73,Test
192,39,v England,Rajkot,14-11-2008,1,6,Bowled,ODI # 2774,32,3,1,121.87,ODI
193,15,v England,Indore,17-11-2008,1,6,Bowled,ODI # 2777,26,1,0,57.69,ODI
194,29,v England,Kanpur,20-11-2008,2,6,Not Out,ODI # 2778,51,4,0,56.86,ODI
195,9,v England,Bengaluru,23-11-2008,1,5,Bowled,ODI # 2781,5,0,1,180,ODI
196,50,v England,Cuttack,26-11-2008,2,4,Lbw,ODI # 2783,61,5,0,81.96,ODI
197,DNB,v England,Chennai,11-12-2008,4,DNB,DNB,Test # 1898,0,0,0,0,Test
198,53,v England,Chennai,11-12-2008,2,7,Caught,Test # 1898,82,5,0,64.63,Test
199,29,v England,Mohali,19-12-2008,1,7,Caught,Test # 1901,73,3,0,39.72,Test
200,0,v England,Mohali,19-12-2008,3,7,Caught,Test # 1901,2,0,0,0,Test
201,61,v Sri Lanka,Dambulla,28-01-2009,2,5,Not Out,ODI # 2806,65,5,0,93.84,ODI
202,23,v Sri Lanka,Colombo (RPS),31-01-2009,1,6,Caught,ODI # 2810,35,0,0,65.71,ODI
203,35,v Sri Lanka,Colombo (RPS),03-02-2009,1,5,Not Out,ODI # 2813,45,1,0,77.77,ODI
